"ar","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","84","85"
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376,376.5,416.526315789474,460.096153846154,494.413043478261,545.333333333333,580.892857142857,674,730.928571428571,766.142857142857,839,887,989.545454545455,1039.36363636364,1125.52941176471,1210.44444444444,1347.33333333333,1337.85714285714,1470,NA,1616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,NA,2,2,NA,NA,NA,18,22,29.1111111111111,36.6,NA,NA,NA,NA,NA,NA,NA,146,NA,NA,203,237,268.333333333333,285.083333333333,340.266666666667,378.666666666667,414.8,459.488888888889,494.706766917293,549.188118811881,592.257731958763,650.563725490196,699.395480225989,774.640522875817,832.098039215686,892.442857142857,963.589552238806,1032.34188034188,1119.92105263158,1196.42857142857,1315.25531914894,1362.45945945946,1443.94117647059,1545.55555555556,1577.6,1927.83333333333,1888.66666666667,2136,2162,2651,NA,NA,NA,NA,NA,3770,4666,4444.66666666667,4602,5083,4746,5113.14285714286,5753.92857142857,6159.4,6516,6713.75,6778.75,7098.75,7110.625,8055.83333333333,7830,8478,7855,9935,NA,NA,NA,NA,NA,10720
1996,NA,NA,NA,NA,NA,16,17,NA,NA,NA,52,55,68.6666666666667,79,93.2222222222222,108.7,126,150.5,169.769230769231,193,216.95,247.428571428571,278.875,306.897435897436,336.309523809524,377.240963855422,401.782178217822,450.720588235294,502.634703196347,539.367768595041,590.07662835249,636.813278008299,692.406926406926,755.507936507937,811.585185185185,878.345132743363,943.659574468085,1027.09210526316,1102.5,1156.10714285714,1264.04166666667,1243.5,1379.09090909091,1437.5,1681.57142857143,1706,1820,1605,2129,2331.5,2570,NA,NA,3222,NA,NA,NA,4122,4662,NA,NA,NA,NA,6005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,9,12.6666666666667,18,24,29.6666666666667,36.25,45.7142857142857,57.6,71.6,77.5,88.3636363636364,115.083333333333,124.62962962963,140.615384615385,164.62962962963,190.5,218.911764705882,246.368421052632,287.085714285714,311.309523809524,344.535714285714,377.714285714286,425.058823529412,464.055865921788,501.703422053232,545.329896907216,588.36,644.064444444444,691.483375959079,752.166666666667,815.235507246377,887.519313304721,950.68253968254,1012.32335329341,1069.5,1146.65934065934,1241.67105263158,1305.01851851852,1393.80952380952,1529.54838709677,1635.85714285714,1703.31818181818,1887.6,1926.625,2009.25,2024.8,2147,2702.6,2513.33333333333,3475,3268,NA,3518,NA,NA,NA,NA,NA,NA,5496,NA,NA,5774,7685,NA,6084.5,NA,NA,NA,8205,NA,NA,9895,8270,NA,NA
1998,NA,9,5.5,6.25,9.33333333333333,10,16.3333333333333,21.1428571428571,26.8333333333333,34,47.4615384615385,53.4285714285714,64.4230769230769,81.9230769230769,97.4186046511628,115.969696969697,129.372549019608,147.890909090909,169.287671232877,191.62962962963,218.1,245.420689655172,274.713450292398,307.083798882682,339.657142857143,379.356060606061,413.796116504854,451.899742930591,493.045725646123,535,580.783505154639,635.355405405405,688.913875598086,743.639498432602,810.517175572519,887.439655172414,941.903225806452,1010.66339869281,1099.40170940171,1166.97206703911,1260,1325.98936170213,1415.82894736842,1554.46296296296,1641.83333333333,1712.96774193548,1858.10526315789,1916.33333333333,1917,2350.16666666667,2225.5,2710.5,3459.5,2503,3716,3271,4022,NA,3905,NA,NA,4697,NA,NA,NA,NA,NA,6530,NA,NA,NA,NA,NA,NA,NA,NA,10100,NA,NA,NA
1999,NA,NA,4.25,6.28571428571429,9.2,12.5294117647059,18.0833333333333,20.9375,27.1818181818182,35.0740740740741,43.2413793103448,53.53125,65.6944444444444,78.8064516129032,93.1944444444444,115,129.711538461538,148.857142857143,171.253731343284,196.577319587629,218.76,242.68115942029,274.263736263736,304.964102564103,333.323275862069,373.009803921569,409.407051282051,447.957983193277,494.780760626398,539.822134387352,583.949790794979,635.318014705882,691.761467889908,749.94045174538,816.211538461538,876.246537396122,943.488673139159,1021.93442622951,1103.90909090909,1178.02649006623,1256.36283185841,1366.01428571429,1452.35294117647,1528.21153846154,1647.23255813953,1734.91304347826,1818.23076923077,1941.42857142857,2083.06666666667,2295.85714285714,2543.125,2798,3744,2731.4,3555,3418,NA,3604,NA,4940,4982,NA,NA,NA,NA,7340,NA,NA,NA,NA,1317,NA,NA,NA,NA,NA,NA,NA,10345,NA
2000,NA,2,4.5,7.14285714285714,9.05555555555556,12.6060606060606,16.6857142857143,20.9459459459459,26.40625,34.5555555555556,42.7872340425532,52.9,65.9302325581395,79.9591836734694,95.6341463414634,112,131.25,147.192307692308,173.666666666667,193.217391304348,220.745283018868,248.069565217391,273.369426751592,307.244019138756,340.516245487365,374.374727668845,407.084905660377,448.619550858653,492.268351383875,538.590389016018,589.481942714819,641.446941323346,695.587115666179,748.93760539629,814.175675675676,887.916478555305,962.557755775578,1035.70750988142,1102.7032967033,1196.4156626506,1290.83928571429,1391.59302325581,1500.71014492754,1592.65384615385,1684.53846153846,1837.43902439024,1984.52380952381,2083.57692307692,2314.4,2450.71428571429,2649.875,2678.36363636364,2793.57142857143,3151.2,3521.33333333333,3500.8,4135,4144,NA,NA,4218,NA,5368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8807.5,NA,NA
2001,NA,22,4,5,9,14,17.1428571428571,20.9090909090909,27.9473684210526,36.5555555555556,42.3333333333333,53.5,65.8076923076923,76.5833333333333,94.5652173913043,110.631578947368,123.909090909091,142.71875,171.886363636364,193.605263157895,220.372881355932,247.096385542169,281.305882352941,310,341,380.333333333333,411.53373015873,446.565671641791,490.941747572816,538.053613053613,583.927664974619,636.543758967001,688.82131147541,748.186295503212,806.671361502347,884.975460122699,953.389140271493,1016.20903954802,1089.72727272727,1193.78640776699,1276.30263157895,1372.96363636364,1410.66037735849,1530.17647058824,1648.89285714286,1722.26315789474,1948.41176470588,2052.16666666667,2197.625,2254,2451.66666666667,2659,2553.5,3066,3197.66666666667,3459,3896,3615,NA,5318,NA,4690,4534,5768,NA,NA,5586,NA,6755,6370,7685,NA,NA,NA,NA,NA,NA,NA,10790,NA
2002,260,1,628,5.5,9.6,12.8333333333333,16,22.4,28.1818181818182,35.15625,44.5925925925926,52.9375,62.2777777777778,79.8909090909091,96.3653846153846,111.575,127.607142857143,146.380952380952,166.971014492754,194.643835616438,221.483870967742,249.855769230769,275.193798449612,312.315151515152,340.7,371.287066246057,409.392,442.749652294854,484.517142857143,526.350243902439,571.922123893805,622.718691588785,678.892896174863,731.486049926579,798.957169459963,867.68544600939,939.733333333333,1027.29739776952,1100.03626943005,1187.83846153846,1276.20588235294,1352.9880952381,1511.01724137931,1529.09615384615,1703.48484848485,1825.78571428571,1792.18181818182,2102.92307692308,2203.5,2379.83333333333,2546.4,2467.8,2512,2744,3265.33333333333,3421.66666666667,3724,3894,NA,4324,5868,NA,NA,NA,NA,NA,NA,5814,NA,NA,NA,NA,NA,NA,7945,NA,NA,NA,NA,NA
