"ar","lengd","sum_fjoldi","cum","max(cum)","per_length","per"
2002,52,117.963791786737,45539.8376624355,45804.04,0.00257540146648062,0.994231898811449
2002,53,75.465495173198,45615.3031576087,45804.04,0.00164757290346437,0.995879471714914
2002,54,68.2460982670301,45683.5492558758,45804.04,0.00148995805319859,0.997369429768112
2002,55,50.3909793663534,45733.9402352421,45804.04,0.00110014268100267,0.998469572449115
2002,56,28.5235455645413,45762.4637808067,45804.04,0.000622729906893394,0.999092302356008
2002,57,13.2898637675816,45775.7536445742,45804.04,0.000290146104308301,0.999382448460317
2002,58,13.6431777128621,45789.3968222871,45804.04,0.000297859702176099,0.999680308162493
2002,59,8.30448612407706,45797.7013084112,45804.04,0.000181304664917703,0.99986161282741
2002,60,6.33869158878505,45804.04,45804.04,0.00013838717258969,1
2003,18,1,1,30858.6,3.24058771298763e-05,3.24058771298763e-05
2003,19,0.219060337501518,1.21906033750152,30858.6,7.09884238110341e-06,3.95047195109797e-05
2003,20,5,6.21906033750152,30858.6,0.000162029385649381,0.000201534105160361
2003,21,4.38568698816178,10.6047473256633,30858.6,0.000142122033668468,0.000343656138828829
2003,22,17.7189402894823,28.3236876151456,30858.6,0.000574197801892578,0.000917853940721407
2003,23,23.9997599039616,52.3234475191072,30858.6,0.00077773327059431,0.00169558721131572
2003,24,45.9377605309454,98.2612080500526,30858.6,0.0014886534233875,0.00318424063470321
2003,25,95.8294609465128,194.090668996565,30858.6,0.00310543773685497,0.00628967837155818
2003,26,115.063888035642,309.154557032207,30858.6,0.00372874621776884,0.010018424589327
2003,27,199.982000156397,509.136557188604,30858.6,0.0064805921252551,0.0164990167145821
2003,28,219.34617158884,728.482728777444,30858.6,0.00710810508541671,0.0236071217999989
2003,29,331.835221562142,1060.31795033959,30858.6,0.010753411417308,0.0343605332173069
2003,30,576.819308981383,1637.13725932097,30858.6,0.0186923356529908,0.0530528688702977
2003,31,972.168514012039,2609.30577333301,30858.6,0.0315039734146085,0.0845568422849063
2003,32,1566.37968774018,4175.68546107319,30858.6,0.0507599076996424,0.135316749984549
2003,33,2316.26576139271,6491.9512224659,30858.6,0.0750606236638314,0.21037737364838
2003,34,3054.56624034893,9546.51746281483,30858.6,0.0989858982698156,0.309363271918196
2003,35,3300.03626410346,12846.5537269183,30858.6,0.106940569698673,0.416303841616868
2003,36,3422.37813986709,16268.9318667854,30858.6,0.110905165492507,0.527209007109376
2003,37,3051.61010061244,19320.5419673978,30858.6,0.098890101968736,0.626099109078112
2003,38,2643.86259195195,21964.4045593498,30858.6,0.0856766863030712,0.711775795381183
2003,39,2237.04570725518,24201.4502666049,30858.6,0.0724934283232285,0.784269223704411
2003,40,1701.22116523054,25902.6714318355,30858.6,0.0551295640512059,0.839398787755617
2003,41,1298.57621621114,27201.2476480466,30858.6,0.0420815013063178,0.881480289061935
2003,42,987.441210316581,28188.6888583632,30858.6,0.0319988985344954,0.913479187596431
2003,43,798.004846499719,28986.6937048629,30858.6,0.0258600470047157,0.939339234601146
2003,44,534.072953777416,29520.7666586403,30858.6,0.017307102518501,0.956646337119647
2003,45,428.875926913488,29949.6425855538,30858.6,0.0138981005915203,0.970544437711167
2003,46,326.397827110713,30276.0404126645,30858.6,0.0105772078808084,0.981121645591976
2003,47,187.890532639277,30463.9309453038,30858.6,0.00608875751457541,0.987210403106551
2003,48,118.566484580964,30582.4974298848,30858.6,0.00384225093105208,0.991052654037603
2003,49,78.7574050372845,30661.2548349221,30858.6,0.00255220279070614,0.99360485682831
2003,50,62.6250517432296,30723.8798866653,30858.6,0.00202941973204324,0.995634276560353
2003,51,34.5917494287382,30758.471636094,30858.6,0.00112097598169516,0.996755252542048
2003,52,20.5951816394884,30779.0668177335,30858.6,0.000667404925676744,0.997422657467725
2003,53,14.552313638822,30793.6191313724,30858.6,0.00047158048773509,0.99789423795546
2003,54,19.9380006269838,30813.5571319993,30858.6,0.000646108398533434,0.998540346353993
2003,55,8.43812067500303,30821.9952526743,30858.6,0.000273444701801217,0.998813791055794
2003,56,9.21906033750152,30831.2143130118,30858.6,0.00029875173654999,0.999112542792344
2003,57,7.21906033750152,30838.4333733493,30858.6,0.000233939982290237,0.999346482774635
2003,58,10,30848.4333733493,30858.6,0.000324058771298763,0.999670541545933
2003,59,6,30854.4333733493,30858.6,0.000194435262779258,0.999864976808713
2003,60,4.16662665066026,30858.6,30858.6,0.000135023191287364,1
2004,10,29,29,31281.12,0.000927076779859545,0.000927076779859545
2004,12,24.5,53.5,31281.12,0.000783220038157202,0.00171029681801675
2004,13,109.833333333333,163.333333333333,31281.12,0.00351117010303126,0.00522146692104801
2004,14,50.6967854828257,214.030118816159,31281.12,0.00162068319429821,0.00684215011534622
2004,15,51.4646240276577,265.494742843817,31281.12,0.00164522958345666,0.00848737969880288
2004,16,86.6666666666667,352.161409510483,31281.12,0.00277057428463772,0.0112579539834406
2004,17,1.46462402765774,353.626033538141,31281.12,4.68213423195121e-05,0.0113047753257601
2004,18,29.6967854828257,383.322819020967,31281.12,0.00094935173302061,0.0122541270587807
2004,19,3,386.322819020967,31281.12,9.59044944682288e-05,0.0123500315532489
2004,20,5.39357096565133,391.716389986618,31281.12,0.000172422565613102,0.0125224541188621
2004,21,3.69678548282566,395.413175469444,31281.12,0.000118179447629294,0.0126406335664913
2004,22,4.92924805531547,400.342423524759,31281.12,0.00015757901428451,0.0127982125807759
2004,23,2.69678548282566,403.039209007585,31281.12,8.62112828065512e-05,0.0128844238635824
2004,24,20.6080797932747,423.64728880086,31281.12,0.000658802491511645,0.0135432263550941
2004,25,43.7163899866181,467.363678787478,31281.12,0.00139753276054752,0.0149407591156416
2004,26,66.5266666533405,533.890345440818,31281.12,0.00212673544468167,0.0170674945603232
2004,27,134.238171440092,668.12851688091,31281.12,0.00429134799010047,0.0213588425504237
2004,28,190.902880782134,859.031397663044,31281.12,0.00610281475797969,0.0274616573084034
2004,29,259.383675078126,1118.41507274117,31281.12,0.00829202007722632,0.0357536773856297
2004,30,464.880701392728,1583.2957741339,31281.12,0.0148613828850351,0.0506150602706648
2004,31,765.514134458648,2348.80990859255,31281.12,0.0244720820245135,0.0750871422951782
2004,32,1316.44582698751,3665.25573558006,31281.12,0.0420843571773489,0.117171499472527
2004,33,2139.02060595501,5804.27634153507,31281.12,0.0683805632904132,0.18555206276294
2004,34,2802.53137251981,8606.80771405488,31281.12,0.0895917848376213,0.275143847600562
2004,35,3090.90167793562,11697.7093919905,31281.12,0.0988104542911384,0.3739543018917
2004,36,3199.90735886475,14897.6167508552,31281.12,0.102295165865696,0.476249467757396
2004,37,3023.4943411945,17921.1110920497,31281.12,0.0966555654399361,0.572905033197332
2004,38,2610.88577826347,20531.9968703132,31281.12,0.083465226892882,0.656370260090214
2004,39,2144.3004041261,22676.2972744393,31281.12,0.0685493487485775,0.724919608838792
2004,40,1846.51850103939,24522.8157754787,31281.12,0.0590298077894713,0.783949416628263
2004,41,1496.33238499496,26019.1481604737,31281.12,0.0478350003131269,0.83178441694139
2004,42,1266.74989333218,27285.8980538058,31281.12,0.0404956693792351,0.872280086320625
2004,43,1005.49711544691,28291.3951692527,31281.12,0.0321438975153995,0.904423983836025
2004,44,765.801160843958,29057.1963300967,31281.12,0.0244812577313075,0.928905241567332
2004,45,623.307848814048,29680.5041789108,31281.12,0.0199260080461968,0.948831249613529
2004,46,407.232686202126,30087.7368651129,31281.12,0.0130184816337179,0.961849731247247
2004,47,366.733915881782,30454.4707809947,31281.12,0.0117238102689987,0.973573541516246
2004,48,235.256315864159,30689.7270968588,31281.12,0.00752071268113672,0.981094254197382
2004,49,158.695804035454,30848.4229008943,31281.12,0.00507321362008312,0.986167467817465
2004,50,116.807575429465,30965.2304763237,31281.12,0.00373412382387413,0.98990159164134
2004,51,91.787970925673,31057.0184472494,31281.12,0.00293429298329705,0.992835884624636
2004,52,51.2425287629102,31108.2609760123,31281.12,0.00163812960542686,0.994474014230063
2004,53,42.4646240276577,31150.72560004,31281.12,0.00135751610005197,0.995831530330115
2004,54,39.0811192524269,31189.8067192924,31281.12,0.00124935166171885,0.997080881991834
2004,55,25.3935709656513,31215.2002902581,31281.12,0.000811785862067961,0.997892667853902
2004,56,22,31237.2002902581,31281.12,0.000703299626100344,0.998595967480002
2004,57,15.4646240276577,31252.6649142857,31281.12,0.000494375649837913,0.99909034312984
2004,58,13,31265.6649142857,31281.12,0.000415586142695658,0.999505929272536
2004,59,8.45508571428571,31274.12,31281.12,0.000270293573704705,0.999776222846241
2004,60,7,31281.12,31281.12,0.0002237771537592,1
2005,12,1,1,60472.12,1.65365460976066e-05,1.65365460976066e-05
2005,13,3,4,60472.12,4.96096382928199e-05,6.61461843904265e-05
2005,14,1.9188777987591,5.9188777987591,60472.12,3.17316111748539e-05,9.78777955652804e-05
2005,15,6.36283340434597,12.2817112031051,60472.12,0.000105219287902359,0.000203097083467639
2005,16,20.1194668006233,32.4011780037284,60472.12,0.000332706490207773,0.000535803573675412
2005,17,18.1194668006233,50.5206448043516,60472.12,0.00029963339801256,0.000835436971687972
2005,18,22.8753813768119,73.3960261811635,60472.12,0.000378279798637982,0.00121371677032595
2005,19,25.4896782167663,98.8857043979298,60472.12,0.000421511238844715,0.00163522800917067
2005,20,37.8975154122029,136.783219810133,60472.12,0.000626694010598652,0.00226192201976932
2005,21,35.0368900589851,171.820109869118,60472.12,0.000579389147577183,0.0028413111673465
2005,22,32.0030147382869,203.823124607405,60472.12,0.000529219328482065,0.00337053049582857
2005,23,41.747906849257,245.571031456662,60472.12,0.000690366186091326,0.00406089668191989
2005,24,42.9603600418221,288.531391498484,60472.12,0.000710415974201369,0.00477131265612126
2005,25,83.2835573594885,371.814948857972,60472.12,0.00137722238544785,0.00614853504156911
2005,26,108.629989426667,480.44493828464,60472.12,0.00179636482773661,0.00794489986930572
2005,27,220.847963772563,701.292902057203,60472.12,0.00365206253348755,0.0115969624027933
2005,28,416.900631186263,1118.19353324347,60472.12,0.00689409650573294,0.0184910589085262
2005,29,869.788770675556,1987.98230391902,60472.12,0.0143833021014569,0.0328743610099831
2005,30,1475.27619313565,3463.25849705467,60472.12,0.0243959727744893,0.0572703337844725
2005,31,2056.47064074704,5519.72913780171,60472.12,0.0340069215490881,0.0912772553335605
2005,32,2938.49839490613,8458.22753270784,60472.12,0.0485926141651083,0.139869869498669
2005,33,4235.93187706865,12694.1594097765,60472.12,0.0700476827514672,0.209917552250136
2005,34,5095.43898177514,17789.5983915516,60472.12,0.0842609616096663,0.294178513859802
2005,35,6012.90945829868,23802.5078498503,60472.12,0.0994327544378911,0.393611268297693
2005,36,6238.54195713978,30041.0498069901,60472.12,0.103163936656095,0.496775204953789
2005,37,6099.04062430694,36140.090431297,60472.12,0.100857066435027,0.597632271388816
