"ar","lengd","sum_fjoldi","cum","max(cum)","per_length","per"
1995,57,36.5797715513898,81770.5199576954,81777.0776500031,0.000447310818661767,0.999919810141226
1995,58,1.55769230769231,81772.0776500031,81777.0776500031,1.90480309697427e-05,0.999938858172196
1995,59,3,81775.0776500031,81777.0776500031,3.66850966824673e-05,0.999975543268878
1995,60,2,81777.0776500031,81777.0776500031,2.44567311216449e-05,1
1996,10,487.69606967785,487.69606967785,104109.365154922,0.00468445916418879,0.00468445916418879
1996,11,366.624095752509,854.320165430359,104109.365154922,0.00352152849272443,0.00820598765691321
1996,12,340.845656496557,1195.16582192692,104109.365154922,0.00327391926739112,0.0114799069243043
1996,13,381.0038835451,1576.16970547202,104109.365154922,0.0036596504356562,0.0151395573599605
1996,14,609.458176004005,2185.62788147602,104109.365154922,0.00585401875323214,0.0209935761131927
1996,15,934.250435773431,3119.87831724945,104109.365154922,0.00897374058888173,0.0299673167020744
1996,16,1271.15302189375,4391.0313391432,104109.365154922,0.0122097855462109,0.0421771022482853
1996,17,1624.83309092801,6015.86443007121,104109.365154922,0.0156069829886115,0.0577840852368968
1996,18,1896.07519958572,7911.93962965693,104109.365154922,0.0182123404245548,0.0759964256614516
1996,19,2202.92049589015,10114.8601255471,104109.365154922,0.021159676582525,0.0971561022439766
1996,20,2525.58275763306,12640.4428831801,104109.365154922,0.0242589391826068,0.121415041426583
1996,21,2709.94533879251,15350.3882219726,104109.365154922,0.0260297940993102,0.147444835525894
1996,22,2831.99587625954,18182.3840982322,104109.365154922,0.0272021241513224,0.174646959677216
1996,23,2945.14929290059,21127.5333911328,104109.365154922,0.0282889948326744,0.20293595450989
1996,24,2763.289444259,23890.8228353918,104109.365154922,0.0265421793721155,0.229478133882006
1996,25,3077.81351036635,26968.6363457581,104109.365154922,0.0295632722933845,0.25904140617539
1996,26,3367.08818414022,30335.7245298984,104109.365154922,0.0323418376351615,0.291383243810552
1996,27,4246.18157152895,34581.9061014273,104109.365154922,0.0407857791199701,0.332169022930522
1996,28,4413.26472599362,38995.1708274209,104109.365154922,0.0423906602391282,0.37455968316965
1996,29,4708.11042699302,43703.281254414,104109.365154922,0.0452227368785414,0.419782420048192
1996,30,5120.99444028856,48824.2756947025,104109.365154922,0.0491886050084752,0.468971025056667
1996,31,5124.15215974857,53948.4278544511,104109.365154922,0.0492189358000933,0.51818996085676
1996,32,5361.78256447413,59310.2104189252,104109.365154922,0.0515014432802989,0.569691404137059
1996,33,4868.91516979407,64179.1255887193,104109.365154922,0.0467673120717699,0.616458716208829
1996,34,5693.7173152122,69872.8429039315,104109.365154922,0.0546897707688406,0.671148486977669
1996,35,5146.35617776966,75019.1990817011,104109.365154922,0.0494322116949952,0.720580698672665
1996,36,4738.01487871363,79757.2139604148,104109.365154922,0.0455099776246175,0.766090676297282
1996,37,4143.76192984542,83900.9758902602,104109.365154922,0.0398020093934798,0.805892685690762
1996,38,3843.27024484289,87744.2461351031,104109.365154922,0.0369157014753076,0.84280838716607
1996,39,3260.94475419539,91005.1908892985,104109.365154922,0.0313222998655585,0.874130687031628
1996,40,3022.79410736442,94027.9849966629,104109.365154922,0.0290347953122786,0.903165482343907
1996,41,2565.96115802416,96593.946154687,104109.365154922,0.0246467851783155,0.927812267522222
1996,42,2113.53572466445,98707.4818793515,104109.365154922,0.0203011104862599,0.948113378008482
1996,43,1417.94829968694,100125.430179038,104109.365154922,0.0136197958519575,0.961733173860439
1996,44,1323.77030320992,101449.200482248,104109.365154922,0.0127151894667695,0.974448363327209
1996,45,844.056242779565,102293.256725028,104109.365154922,0.00810739976680822,0.982555763094017
1996,46,601.529695159425,102894.786420187,104109.365154922,0.00577786344450673,0.988333626538524
1996,47,371.625963719827,103266.412383907,104109.365154922,0.00356957285415027,0.991903199392674
1996,48,243.655052496292,103510.067436403,104109.365154922,0.00234037593192233,0.994243575324597
1996,49,128.318222522713,103638.385658926,104109.365154922,0.00123253294582833,0.995476108270425
1996,50,123.852352160496,103762.238011087,104109.365154922,0.00118963699352306,0.996665745263948
1996,51,86.43853777016,103848.676548857,104109.365154922,0.000830266687742582,0.99749601195169
1996,52,62.7033003715819,103911.379849228,104109.365154922,0.000602282996138485,0.998098294947829
1996,53,48.1434958965993,103959.523345125,104109.365154922,0.000462431941881103,0.99856072688971
1996,54,34.8893007165801,103994.412645842,104109.365154922,0.000335121635451935,0.998895848525162
1996,55,37.1662901251313,104031.578935967,104109.365154922,0.000356992764962358,0.999252841290124
1996,56,14.1534953875299,104045.732431354,104109.365154922,0.000135948340156224,0.999388789630281
1996,57,13.5205174146858,104059.252948769,104109.365154922,0.000129868407079098,0.99951865803736
1996,58,9.48859760070522,104068.74154637,104109.365154922,9.11406729508487e-05,0.999609798710311
1996,59,12.2625945945946,104081.004140964,104109.365154922,0.000117785701376115,0.999727584411687
1996,60,28.3610139575969,104109.365154922,104109.365154922,0.000272415588313249,1
1997,10,367.864141698744,367.864141698744,93715.4126388547,0.00392533235825744,0.00392533235825744
1997,11,469.479988425931,837.344130124675,93715.4126388547,0.00500963475703977,0.00893496711529721
1997,12,458.784559547992,1296.12868967267,93715.4126388547,0.00489550807737444,0.0138304751926716
1997,13,613.052361036993,1909.18105070966,93715.4126388547,0.00654163860324101,0.0203721137959127
1997,14,750.494758383144,2659.6758090928,93715.4126388547,0.00800823191458677,0.0283803457104994
1997,15,572.765636200998,3232.4414452938,93715.4126388547,0.00611175494054782,0.0344921006510472
1997,16,637.695939662379,3870.13738495618,93715.4126388547,0.00680460045691553,0.0412967011079628
1997,17,670.448881794117,4540.5862667503,93715.4126388547,0.00715409411232904,0.0484507952202918
1997,18,925.202873037567,5465.78913978786,93715.4126388547,0.0098724729154527,0.0583232681357445
1997,19,1263.38328362745,6729.17242341532,93715.4126388547,0.0134810619518485,0.0718043300875931
1997,20,1437.31507720759,8166.4875006229,93715.4126388547,0.0153370191384258,0.0871413492260189
1997,21,1939.0135649827,10105.5010656056,93715.4126388547,0.0206904447239107,0.10783179394993
1997,22,2183.81968785281,12289.3207534584,93715.4126388547,0.0233026737690252,0.131134467718955
1997,23,2422.13771035049,14711.4584638089,93715.4126388547,0.0258456708682971,0.156980138587252
1997,24,2544.49098178386,17255.9494455928,93715.4126388547,0.0271512541014935,0.184131392688745
1997,25,2822.14526515428,20078.094710747,93715.4126388547,0.0301139928394682,0.214245385528213
1997,26,2911.75540545811,22989.8501162052,93715.4126388547,0.0310701871065644,0.245315572634778
1997,27,3559.25218352018,26549.1022997253,93715.4126388547,0.0379793684229535,0.283294941057731
1997,28,3491.91230764099,30041.0146073663,93715.4126388547,0.0372608113149707,0.320555752372702
1997,29,3858.52944107403,33899.5440484404,93715.4126388547,0.0411728373425982,0.3617285897153
1997,30,3851.4816672465,37751.0257156868,93715.4126388547,0.041097633343287,0.402826223058587
1997,31,4410.44653456472,42161.4722502516,93715.4126388547,0.0470621257525802,0.449888348811168
1997,32,5038.39872767587,47199.8709779274,93715.4126388547,0.053762754554494,0.503651103365661
1997,33,5039.40577211144,52239.2767500389,93715.4126388547,0.0537735003262642,0.557424603691926
1997,34,5647.36881680673,57886.6455668456,93715.4126388547,0.0602608328532858,0.617685436545211
1997,35,5185.46219653321,63072.1077633788,93715.4126388547,0.055332010504143,0.673017447049354
1997,36,5391.90313206248,68464.0108954413,93715.4126388547,0.0575348598510783,0.730552306900433
1997,37,5154.6598410934,73618.6707365347,93715.4126388547,0.0550033307857011,0.785555637686134
1997,38,4196.59920800722,77815.2699445419,93715.4126388547,0.0447802457444155,0.830335883430549
1997,39,3749.18646208343,81564.4564066253,93715.4126388547,0.0400060817800743,0.870341965210624
1997,40,3087.8686935299,84652.3251001552,93715.4126388547,0.0329494221556643,0.903291387366288
1997,41,2300.5741740003,86952.8992741555,93715.4126388547,0.0245485145849582,0.927839901951246
1997,42,2077.44844828354,89030.3477224391,93715.4126388547,0.0221676284592511,0.950007530410497
1997,43,1472.45805845536,90502.8057808944,93715.4126388547,0.0157120159533382,0.965719546363836
1997,44,1122.66933541779,91625.4751163122,93715.4126388547,0.011979559218761,0.977699105582596
1997,45,703.895325396854,92329.3704417091,93715.4126388547,0.00751098784689144,0.985210093429488
1997,46,397.720447605166,92727.0908893142,93715.4126388547,0.00424391715733928,0.989454010586827
1997,47,274.753366325747,93001.84425564,93715.4126388547,0.00293178420271751,0.992385794789545
1997,48,169.541128538592,93171.3853841786,93715.4126388547,0.00180910614129121,0.994194900930836
1997,49,167.170215827041,93338.5556000056,93715.4126388547,0.00178380707206887,0.995978708002905
1997,50,102.644921980718,93441.2005219863,93715.4126388547,0.00109528325267344,0.997073991255578
1997,51,50.2730584916538,93491.473580478,93715.4126388547,0.000536443868474313,0.997610435124052
1997,52,57.8950903409363,93549.3686708189,93715.4126388547,0.000617775547380269,0.998228210671433
1997,53,47.3502989575847,93596.7189697765,93715.4126388547,0.000505256260675666,0.998733466932108
1997,54,44.1491286361613,93640.8680984127,93715.4126388547,0.000471097841785066,0.999204564773894
1997,55,15.2579837688929,93656.1260821816,93715.4126388547,0.000162811893361571,0.999367376667255
1997,56,15.3418650793651,93671.4679472609,93715.4126388547,0.000163706957557633,0.999531083624813
1997,57,21.6647842056933,93693.1327314666,93715.4126388547,0.000231176319835261,0.999762259944648
1997,58,9.67690233095742,93702.8096337976,93715.4126388547,0.000103258386838126,0.999865518331486
1997,59,10.6030050571487,93713.4126388547,93715.4126388547,0.000113140461729693,0.999978658793216
1997,60,2,93715.4126388547,93715.4126388547,2.13412067842808e-05,1
1998,10,333.208785051396,333.208785051396,87315.0439652398,0.0038161669503831,0.0038161669503831
1998,11,278.43944842864,611.648233480036,87315.0439652398,0.00318890578053751,0.00700507273092062
1998,12,254.544365993248,866.192599473284,87315.0439652398,0.00291524065537415,0.00992031338629477
1998,13,249.514497431536,1115.70709690482,87315.0439652398,0.0028576346766872,0.012777948062982
1998,14,413.656141087872,1529.36323799269,87315.0439652398,0.00473751283057876,0.0175154608935607
1998,15,439.95013137095,1969.31336936364,87315.0439652398,0.005038652119858,0.0225541130134187
1998,16,543.463699710155,2512.7770690738,87315.0439652398,0.00622417025783677,0.0287782832712555
1998,17,562.920909820699,3075.6979788945,87315.0439652398,0.00644700940704786,0.0352252926783033
1998,18,577.937346695084,3653.63532558958,87315.0439652398,0.00661898935680731,0.0418442820351107
1998,19,665.041383230959,4318.67670882054,87315.0439652398,0.00761657273511438,0.049460854770225
1998,20,703.691517999603,5022.36822682014,87315.0439652398,0.00805922423035993,0.057520079000585
1998,21,846.140339711338,5868.50856653148,87315.0439652398,0.00969065926426364,0.0672107382648486
1998,22,1227.33091683571,7095.83948336719,87315.0439652398,0.0140563511291858,0.0812670893940344
1998,23,1778.56835061591,8874.4078339831,87315.0439652398,0.0203695522540647,0.101636641648099
1998,24,2195.17355536909,11069.5813893522,87315.0439652398,0.0251408400623722,0.126777481710471
1998,25,2415.74460665394,13485.3259960061,87315.0439652398,0.0276669918143276,0.154444473524799
1998,26,2757.37829700906,16242.7042930152,87315.0439652398,0.0315796473527147,0.186024120877514
1998,27,3314.05703578526,19556.7613288005,87315.0439652398,0.0379551665472973,0.223979287424811
1998,28,3189.79574536747,22746.5570741679,87315.0439652398,0.0365320293102909,0.260511316735102
1998,29,3267.00302502584,26013.5600991938,87315.0439652398,0.037416267308145,0.297927584043247
1998,30,3592.96853296637,29606.5286321601,87315.0439652398,0.0411494785984043,0.339077062641651
1998,31,4328.03469754931,33934.5633297094,87315.0439652398,0.0495680297575331,0.388645092399184
1998,32,4544.76874806629,38479.3320777757,87315.0439652398,0.0520502371833606,0.440695329582545
1998,33,4872.21704566114,43351.5491234369,87315.0439652398,0.0558004305375003,0.496495760120045
1998,34,5613.03076411121,48964.5798875481,87315.0439652398,0.0642848071673166,0.560780567287362
1998,35,5652.41468290246,54616.9945704505,87315.0439652398,0.0647358625296311,0.625516429816993
1998,36,6230.82610105868,60847.8206715092,87315.0439652398,0.0713602813226456,0.696876711139638
1998,37,5242.66475448445,66090.4854259937,87315.0439652398,0.0600430866938756,0.756919797833514
1998,38,4745.79007690579,70836.2755028995,87315.0439652398,0.0543524902626756,0.81127228809619
1998,39,3985.81415252047,74822.0896554199,87315.0439652398,0.0456486531016033,0.856920941197793
1998,40,3198.38885557877,78020.4785109987,87315.0439652398,0.0366304443121171,0.89355138550991
1998,41,2409.78425538948,80430.2627663882,87315.0439652398,0.0275987292218374,0.921150114731748
1998,42,2077.27192875744,82507.5346951456,87315.0439652398,0.0237905386565963,0.944940653388344
1998,43,1316.04425509872,83823.5789502444,87315.0439652398,0.015072365486326,0.96001301887467
1998,44,1066.0322301298,84889.6111803742,87315.0439652398,0.0122090327361479,0.972222051610818
